"","ASV","Count","rel_abun","Family","Host","Total","Core"
"A. koa.78","ASV1731",432,0.216734730737199,NA,"A. koa",189080,"No"
"A. koa.79","ASV1742",522,0.261887799640782,NA,"A. koa",189080,"Yes"
"A. koa.80","ASV1743",10,0.00501700765595368,NA,"A. koa",189080,"No"
"A. koa.81","ASV1746",190,0.09532314546312,NA,"A. koa",189080,"No"
"A. koa.82","ASV1771",62,0.0311054474669128,NA,"A. koa",189080,"No"
"A. koa.83","ASV1774",52,0.0260884398109592,NA,"A. koa",189080,"Yes"
"A. koa.84","ASV1777",14,0.00702381071833516,NA,"A. koa",189080,"Yes"
"A. koa.85","ASV1787",316,0.158537441928136,NA,"A. koa",189080,"No"
"A. koa.86","ASV1788",42,0.0210714321550055,NA,"A. koa",189080,"No"
"A. koa.87","ASV1792",322,0.161547646521709,NA,"A. koa",189080,"No"
"A. koa.88","ASV1795",2502,1.25525531551961,NA,"A. koa",189080,"Yes"
"A. koa.89","ASV1797",144,0.072244910245733,NA,"A. koa",189080,"No"
"A. koa.90","ASV1798",111,0.0556887849810859,NA,"A. koa",189080,"No"
"A. koa.91","ASV1801",205,0.10284865694705,NA,"A. koa",189080,"No"
"A. koa.92","ASV1806",171,0.085790830916808,NA,"A. koa",189080,"Yes"
"A. koa.93","ASV1807",1,0.000501700765595368,NA,"A. koa",189080,"No"
"A. koa.94","ASV1815",134,0.0672279025897793,NA,"A. koa",189080,"Yes"
"A. koa.95","ASV1834",53,0.0265901405765545,NA,"A. koa",189080,"Yes"
"A. koa.96","ASV1836",352,0.17659866948957,NA,"A. koa",189080,"Yes"
"A. koa.97","ASV1845",297,0.149005127381824,NA,"A. koa",189080,"Yes"
"A. koa.98","ASV1858",106,0.053180281153109,NA,"A. koa",189080,"No"
"A. koa.99","ASV1863",190,0.09532314546312,NA,"A. koa",189080,"Yes"
"A. koa.100","ASV1870",58,0.0290986444045314,NA,"A. koa",189080,"Yes"
"A. koa.101","ASV1871",2339,1.17347809072757,NA,"A. koa",189080,"Yes"
"A. koa.102","ASV1875",179,0.0898044370415709,NA,"A. koa",189080,"Yes"
"A. koa.103","ASV1876",167,0.0837840278544265,NA,"A. koa",189080,"Yes"
