"","A. koa","C. trigynum","Grass","M. polymorpha","M. lessertiana","R. hawaiensis","Soil"
"ASV1468",0,0,0,0,1,0,0
"ASV1469",1,0,0,0,0,0,1
"ASV147",0,0,0,0,0,0,1
"ASV1470",0,0,1,0,0,0,0
"ASV1472",0,0,0,1,0,0,0
"ASV1475",0,0,1,0,0,0,0
"ASV1476",1,0,1,1,1,1,1
"ASV1477",1,1,1,1,1,1,1
"ASV1479",0,0,0,1,0,0,0
"ASV148",0,0,0,0,0,0,1
"ASV1480",0,0,0,0,0,1,0
"ASV1481",1,1,0,1,0,0,0
"ASV1482",1,1,1,1,1,1,0
"ASV1483",1,1,1,1,1,0,0
"ASV1485",0,0,0,0,0,1,0
"ASV1486",1,1,1,1,1,1,1
"ASV1488",0,0,0,0,1,0,0
"ASV1489",1,1,1,1,1,0,0
"ASV149",0,0,1,0,0,0,0
"ASV1490",1,0,0,0,0,1,1
"ASV1491",1,1,1,1,1,1,1
"ASV1492",0,0,0,0,0,1,0
"ASV1494",0,1,0,0,0,0,0
"ASV1496",1,0,1,1,0,1,1
"ASV1498",0,0,0,1,0,0,0
"ASV1499",0,0,0,1,0,0,0
"ASV15",0,0,0,0,0,1,0
"ASV150",0,0,1,0,0,0,0
"ASV1502",0,0,1,0,0,0,0
"ASV1503",0,1,0,0,0,0,0
"ASV1504",0,0,0,0,0,1,0
"ASV1506",0,0,0,0,0,1,0
"ASV1508",0,0,0,1,0,0,0
"ASV1509",1,0,0,0,0,0,0
"ASV151",0,0,0,0,1,0,1
"ASV1510",0,1,0,0,0,0,0
"ASV1512",0,1,0,0,0,0,0
"ASV1515",0,0,1,0,0,0,0
"ASV1517",0,0,1,0,1,0,0
"ASV1518",0,0,0,0,1,0,0
"ASV152",0,0,0,0,0,0,1
"ASV1521",0,1,0,0,0,1,0
"ASV1524",0,1,0,0,0,0,0
"ASV1527",0,0,0,1,0,0,0
"ASV1529",0,0,0,0,0,1,0
"ASV153",0,0,0,0,0,0,1
"ASV1535",0,0,0,0,1,0,0
"ASV1536",0,0,0,1,0,0,0
"ASV1537",1,0,0,0,0,0,0
"ASV1538",1,0,0,0,0,0,0
"ASV154",0,0,0,0,1,0,0
"ASV1548",0,0,0,0,1,0,0
"ASV155",0,0,0,0,0,0,1
"ASV1551",0,0,0,0,0,0,1
"ASV1553",0,0,0,0,1,0,0
"ASV1555",0,0,0,1,0,0,0
"ASV1556",0,0,0,1,0,0,0
"ASV1558",1,0,0,0,0,0,0
"ASV1559",1,0,0,1,0,0,0
"ASV1560",0,1,0,0,0,0,0
"ASV1561",0,1,0,0,0,0,0
"ASV1567",0,0,0,0,1,0,0
"ASV1568",0,0,1,0,0,0,0
"ASV1569",0,0,1,0,0,0,0
"ASV1570",0,0,0,0,0,0,1
"ASV1571",0,0,1,0,0,0,0
"ASV1574",0,0,0,0,1,0,0
"ASV1578",0,0,0,0,1,0,0
"ASV158",0,0,0,0,0,0,1
"ASV1582",0,0,0,0,0,1,0
"ASV1583",0,0,0,1,0,0,0
"ASV1588",0,0,1,0,0,0,0
"ASV1589",0,0,0,0,1,0,0
"ASV159",0,0,0,1,0,0,0
"ASV1590",1,0,0,0,0,0,0
"ASV1591",1,0,0,0,0,0,0
"ASV1593",0,0,0,0,1,0,0
"ASV1599",0,0,0,0,0,0,1
"ASV16",1,0,0,0,0,0,0
"ASV160",0,0,0,0,0,0,1
"ASV1600",1,0,1,1,0,1,1
"ASV1601",1,0,1,0,0,1,1
"ASV1602",1,0,0,0,0,0,0
"ASV1603",1,0,1,1,0,1,1
"ASV1605",1,1,0,1,0,0,1
"ASV1606",1,0,0,0,0,0,0
"ASV1607",0,1,0,0,0,1,0
"ASV1608",0,0,0,0,0,0,1
"ASV1609",0,0,0,0,0,0,1
"ASV161",0,0,0,0,0,0,1
"ASV1610",1,1,1,1,1,1,1
"ASV1611",1,1,1,1,1,1,1
"ASV1615",1,0,0,0,0,0,0
"ASV1616",0,1,0,0,0,0,0
"ASV1617",0,0,1,0,0,0,0
"ASV1619",0,0,0,0,1,0,0
"ASV1620",1,1,0,1,1,1,1
"ASV1621",0,0,0,0,1,0,0
"ASV1622",1,1,0,1,1,0,1
"ASV1624",1,1,0,1,1,0,0
"ASV1625",0,0,0,0,0,0,1
"ASV1626",1,1,0,1,1,1,1
"ASV1627",0,0,0,0,1,0,0
"ASV1628",1,1,1,1,1,1,1
"ASV1629",0,0,0,0,0,0,1
"ASV1630",0,1,0,0,0,0,0
